cpu_utilization,network_bytes_out,failed_login_count,api_calls_per_min,login_hour,unique_ips_per_user,true_label,predicted_label,anomaly_score,anomaly_type,explanation,severity
37.67380050154864,82.15384738219238,26,61.603168605148014,2,1,1,1,-0.0924938982267391,brute_force_login,26 failed logins during off-hours (2:00) -> possible brute-force login attempt,Medium
26.364430473949724,54.68772749293342,0,260.6474947520649,21,11,1,1,-0.1461761017626852,credential_stuffing,261 API calls/min from 11 unique IPs -> possible credential-stuffing / bot activity,High
96.94742155406075,21.22115864661045,0,10.855598599039888,8,3,1,1,-0.0889520649457208,crypto_mining,High CPU (96.9%) with normal network activity -> possible crypto-mining or resource-hijacking process,High
47.73521830844124,70.35269004198332,22,43.26857022147436,3,1,1,1,-0.0408150898764865,brute_force_login,22 failed logins during off-hours (3:00) -> possible brute-force login attempt,Medium
46.73116902876552,95.60040079794032,18,48.34948761199428,4,1,1,1,-0.0294253367082854,brute_force_login,18 failed logins during off-hours (4:00) -> possible brute-force login attempt,Medium
31.877471951741448,86.25620747012967,19,41.36582287701787,3,1,1,1,-0.0035882518739437,brute_force_login,19 failed logins during off-hours (3:00) -> possible brute-force login attempt,Medium
95.94888195136,70.58418370169862,1,15.129966031053304,23,1,1,1,-0.0727799530713647,crypto_mining,High CPU (95.9%) with normal network activity -> possible crypto-mining or resource-hijacking process,High
35.199744247458284,50.35919573673892,36,19.46074043481004,1,1,1,1,-0.0572225528403707,brute_force_login,36 failed logins during off-hours (1:00) -> possible brute-force login attempt,Medium
46.359618304279735,859.7481084838115,0,46.81608425968574,15,1,1,1,-0.0195199132063785,data_exfiltration,Abnormal outbound traffic (860 MB) with normal CPU -> possible data exfiltration,High
34.41777152163696,59.54813057113501,38,6.4530013028352045,1,1,1,1,-0.0695728004821074,brute_force_login,38 failed logins during off-hours (1:00) -> possible brute-force login attempt,Medium
20.284063236952303,40.32656212033493,0,196.6429758127623,21,19,1,1,-0.1783085396775442,credential_stuffing,197 API calls/min from 19 unique IPs -> possible credential-stuffing / bot activity,High
27.37252591232823,820.8450156169023,0,14.764434585715083,2,3,1,1,-0.0540670233237775,data_exfiltration,Abnormal outbound traffic (821 MB) with normal CPU -> possible data exfiltration,High
90.04324776520069,67.1308188852837,0,38.69727965945005,21,1,1,1,-0.0067248026801577,crypto_mining,High CPU (90.0%) with normal network activity -> possible crypto-mining or resource-hijacking process,High
28.73626734340161,45.96438362167876,0,168.64415547340562,21,19,1,1,-0.1598483710332975,credential_stuffing,169 API calls/min from 19 unique IPs -> possible credential-stuffing / bot activity,High
39.11676832788642,122.36250514104094,31,67.95782900325044,4,1,1,1,-0.1073772383778596,brute_force_login,31 failed logins during off-hours (4:00) -> possible brute-force login attempt,Medium
91.48706505374386,53.14529095361732,0,19.84351864848644,0,4,1,1,-0.1081752766584969,crypto_mining,High CPU (91.5%) with normal network activity -> possible crypto-mining or resource-hijacking process,High
46.71336758758402,548.2829597023691,0,39.28072864806565,10,1,1,1,-0.0090058868124822,data_exfiltration,Abnormal outbound traffic (548 MB) with normal CPU -> possible data exfiltration,High
31.8042657327968,877.407931437368,0,45.45094371492854,15,1,1,1,-0.01120678110132,data_exfiltration,Abnormal outbound traffic (877 MB) with normal CPU -> possible data exfiltration,High
15.583662427751898,660.1640425340333,0,10.198812413574135,1,1,1,1,-0.0537145115261835,data_exfiltration,Abnormal outbound traffic (660 MB) with normal CPU -> possible data exfiltration,High
40.2280208690092,83.25079463184325,27,40.481109172973404,2,3,1,1,-0.0836257130725656,brute_force_login,27 failed logins during off-hours (2:00) -> possible brute-force login attempt,Medium
