cpu_utilization,network_bytes_out,failed_login_count,api_calls_per_min,login_hour,unique_ips_per_user,true_label,predicted_label,anomaly_score,anomaly_type
23.101549301831188,61.75198472487102,0,30.27939582620241,21,1,0,0,0.1412326834133617,normal
45.97100599095164,92.78613316697296,1,45.48141906610134,11,2,0,0,0.09720844213935093,normal
46.12829977257639,75.25555195452733,1,34.478646892640455,18,1,0,0,0.11624639207008353,normal
32.45279106454667,72.26847702977922,1,39.16278904418101,13,1,0,0,0.1480415466734613,normal
40.43724458809309,92.98808882876514,0,39.419927993651456,13,1,0,0,0.16636497818492713,normal
19.32695872034361,66.02963329385128,0,21.8059058724658,6,3,0,0,0.11919239086905026,normal
20.573579771890955,63.656916536777615,0,10.362741357806364,23,2,0,0,0.09291031418737505,normal
48.1793738507935,107.19360830988124,0,43.33655087276439,17,2,0,0,0.0968728221228004,normal
43.67664343037542,87.8303095266615,0,39.95498672295408,18,1,0,0,0.15379550213016924,normal
20.01429930153377,33.03397055097543,0,3.6909076474636535,8,1,0,0,0.12162299777919189,normal
26.82695321008087,47.27398632719572,1,29.625209784467717,4,1,0,0,0.1477374392320508,normal
21.71202508755317,43.06251270200046,0,15.771410541056628,4,1,0,0,0.15156936582693886,normal
37.67380050154864,82.15384738219238,26,61.603168605148014,2,1,1,1,-0.09249389822673915,brute_force_login
46.6490969004251,90.17824481931578,0,38.56081238557541,18,2,0,0,0.12140106962208091,normal
29.5200497266272,78.75931952908631,1,0.0,0,2,0,0,0.0379444504316232,normal
26.435481184666894,40.82460317447303,0,11.293906890792028,8,1,0,0,0.1498940331684337,normal
36.73835862344168,89.83878709488255,0,45.27397714642395,17,2,0,0,0.14791576717669086,normal
30.82150626997545,92.65983878178795,0,55.13662022661483,9,1,0,0,0.13393283335423234,normal
35.34817989856665,47.20777671551527,0,28.862726884707104,0,1,0,0,0.10662364624414578,normal
46.73013485432752,77.56208052985615,0,39.20477432046153,17,2,0,0,0.13084654551540142,normal
12.236635477891028,66.34069754231912,1,31.001880390728218,4,1,0,0,0.08895343951319795,normal
33.13744017142494,49.212892159054256,0,27.470617745818885,1,3,0,0,0.09954004199681943,normal
26.364430473949724,54.68772749293342,0,260.6474947520649,21,11,1,1,-0.14617610176268525,credential_stuffing
36.73945137319741,54.27359979226192,0,56.24541170863867,11,1,0,0,0.13831170097867218,normal
48.962258554033205,77.07058130305703,0,47.16640725468734,10,1,0,0,0.13101099476188366,normal
